matching_id	role	cancer_id	cancer_normalized	gene_hugo_id	gene_entrez_id	gene_normalized	citation_count
f952c5ad7bfa3a24e85e9c3326cdeb4f	Oncogene	DOID:1612	breast cancer	HGNC:3430	2064	ERBB2	417
42a6cc76076d3fb75ac50a800cde08af	Tumor_Suppressor	DOID:768	retinoblastoma	HGNC:9884	5925	RB1	409
ad06a8e196876ea092ce6c8c53790fc9	Oncogene	DOID:3908	non-small cell lung carcinoma	HGNC:3236	1956	EGFR	393
2e0ded9fb079b5249f2d89c4e9969e58	Tumor_Suppressor	DOID:2154	nephroblastoma	HGNC:12796	7490	WT1	388
b539ce94cca18a6c752ecf49a76092b1	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:76	25	ABL1	381
acf2e46260fb18bb76c0a12976a81e58	Oncogene	DOID:1909	melanoma	HGNC:1097	673	BRAF	321
120622840a20614876f8610d58bc4ff4	Oncogene	DOID:769	neuroblastoma	HGNC:7559	4613	MYCN	318
0327bffcf721a3443ad01f612efd4de8	Oncogene	DOID:3973	thyroid medullary carcinoma	HGNC:9967	5979	RET	316
d7ac315bc07c90d681391900832a7449	Oncogene	DOID:170	endocrine gland cancer	HGNC:9967	5979	RET	288
a518a97e5b837a99e4af5ad51c66f152	Oncogene	DOID:9253	gastrointestinal stromal tumor	HGNC:6342	3815	KIT	254
7dcef0d4e3128a7a9d412a1702cfb9e4	Oncogene	DOID:1612	breast cancer	HGNC:7553	4609	MYC	191
6b2c51597912864a3cd5c6cf2e904f4a	Oncogene	DOID:8584	Burkitt lymphoma	HGNC:7553	4609	MYC	181
e598a4a92ae53f223da6cf07a2fa4b28	Driver	DOID:0060058	lymphoma	HGNC:7553	4609	MYC	166
333aced65dd558f55c8c9fcc3c968830	Oncogene	DOID:8552	chronic myeloid leukemia	HGNC:1014	613	BCR	160
2603e80d33b9a527908cf99cabdfd051	Driver	DOID:1909	melanoma	HGNC:1097	673	BRAF	152
c6497f99874500b61bb6e6cbb2843244	Oncogene	DOID:1793	pancreatic cancer	HGNC:6407	3845	KRAS	145
19ccfdc4caf0ea5d2898cef3c3aac744	Oncogene	DOID:684	hepatocellular carcinoma	HGNC:7553	4609	MYC	134
4777ca70a48d45ab3ca357af68bcb9d5	Driver	DOID:1612	breast cancer	HGNC:3430	2064	ERBB2	132
0b552a5d8cfb0f0a1fcfdd9456db1682	Oncogene	DOID:3969	papillary thyroid carcinoma	HGNC:9967	5979	RET	130
ba14cde0c486e4b610c6ded5021e9d96	Oncogene	DOID:3369	Ewing sarcoma	HGNC:3508	2130	EWSR1	128
e743295a4ba73a79685ae033d9c28b82	Oncogene	DOID:1324	lung cancer	HGNC:3236	1956	EGFR	126
4dac992cb7d4d8beb57f3094fda8ce55	Oncogene	DOID:0060058	lymphoma	HGNC:7553	4609	MYC	118
1eba268f6c1106430fd1a5eb7600ad20	Oncogene	DOID:0050547	familial medullary thyroid carcinoma	HGNC:9967	5979	RET	118
